Processes,Size,Latency
46,128,10.24
46,256,10.77
46,512,12.23
46,1024,15.45
46,2048,19.81
46,4096,27.36
46,8192,43.33
46,16384,77.81
46,32768,157.95
46,65536,323.02
46,131072,700.69
46,262144,518.74
46,524288,1021.95
46,1048576,2847.56
48,2,5.45
48,4,5.53
48,8,5.26
48,16,5.23
48,32,5.69
48,64,5.65
48,128,10.49
48,256,10.98
48,512,12.22
48,1024,15.85
48,2048,20.21
48,4096,28.41
48,8192,43.53
48,16384,86.37
48,32768,165.40
48,65536,338.52
48,131072,724.77
48,262144,587.42
48,524288,1081.72
48,1048576,3014.70

